benchmark,model,sample_id,n_units,keep_ratio,spearman_pre_post,kendall_pre_post,jaccard_topk,mean_edge_pre_keep_post_drop,mean_edge_post_keep_pre_drop,frac_high_edge_pre_keep_post_drop,frac_high_edge_post_keep_pre_drop,rank_shift_edge_rho,unit_grid_h,unit_grid_w
docvqa,Qwen/Qwen3-VL-8B-Instruct,49396,1375,0.25,0.08537222688959258,0.059279608310175994,0.11507293354943274,0.6363901492385637,0.16104877505437795,0.9926739926739927,0.5457875457875457,0.4281950484390584,110,50
docvqa,Qwen/Qwen3-VL-8B-Instruct,1014,3710,0.25,0.06505634359333165,0.04089652420386153,0.1021377672209026,0.9319218040971213,0.06512511744202348,1.0,0.2804232804232804,0.5602852483888351,140,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,57805,1265,0.25,0.11899379146208067,0.07693750938109772,0.10296684118673648,0.503923504037152,0.285883701823159,0.9649805447470817,0.4669260700389105,0.3768687020869595,46,110
docvqa,Qwen/Qwen3-VL-8B-Instruct,58374,3657,0.25,-0.1048433235839594,-0.06597625981947201,0.08165680473372781,0.9558685583820969,0.047551476443501446,1.0,0.17783505154639176,0.6806496531649481,138,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,57841,3763,0.25,0.09105902179819078,0.06085075977976063,0.1610117211597779,0.7196707541075097,0.057324903840077136,0.9926470588235294,0.3073529411764706,0.524949817640583,142,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,892,3400,0.25,-0.17175714179230675,-0.10894521034650671,0.046798029556650245,0.9091735947540256,0.5201641865826409,0.9844961240310077,0.4444444444444444,0.4570433154230767,136,100
docvqa,Qwen/Qwen3-VL-8B-Instruct,58312,16240,0.25,0.33506525363395473,0.22780484309318194,0.3000320204931156,0.24129496035928197,0.0003701052899525244,0.5361390667886551,0.0022872827081427266,0.32138793531376464,224,290
docvqa,Qwen/Qwen3-VL-8B-Instruct,60401,3604,0.25,0.05640493762170333,0.03620920049952266,0.18163934426229508,0.6048586108805373,0.017874863394787062,0.9983974358974359,0.39903846153846156,0.4376889273700982,136,106
docvqa,Qwen/Qwen3-VL-8B-Instruct,57820,3864,0.25,-0.007246597261778371,-0.0026867421094705006,0.07512520868113523,1.1416405659935536,0.1737928313871511,1.0,0.4091456077015644,0.6270462414117441,112,138
docvqa,Qwen/Qwen3-VL-8B-Instruct,17005,3726,0.25,0.07521793782297559,0.050880913011055996,0.1331306990881459,0.944308417019804,0.017882561222002928,1.0,0.23842917251051893,0.5953643517285613,138,108
docvqa,Qwen/Qwen3-VL-8B-Instruct,49297,3905,0.25,0.16001986875985852,0.10901220967919038,0.13819241982507288,0.42539034938094417,0.13690381691978895,0.9986468200270636,0.476319350473613,0.43835495906471605,142,110
docvqa,Qwen/Qwen3-VL-8B-Instruct,25708,3976,0.25,0.23752917048323927,0.15683069932121682,0.22188076213890595,0.34065595857716663,0.07552407571154324,0.8767772511848341,0.5860979462875198,0.2211540189112022,142,112
docvqa,Qwen/Qwen3-VL-8B-Instruct,58020,3816,0.25,0.2446315695469779,0.16621720127632758,0.23255813953488372,0.6037708744745847,0.055083368225799255,0.9158249158249159,0.15993265993265993,0.43790894593992336,106,144
